"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2023-03","Room in bed and breakfast - hotel_room","62","70.20","1095.25"
"2023-04","Room in bed and breakfast - hotel_room","61","73.20","1227.50"
"2023-05","Room in bed and breakfast - hotel_room","50","60.43","1103.50"
"2023-06","Room in bed and breakfast - hotel_room","80","80.00","1704.00"
"2023-07","Room in bed and breakfast - hotel_room","74","71.63","1819.00"
"2023-08","Room in bed and breakfast - hotel_room","84","81.88","2014.00"
"2023-09","Room in bed and breakfast - hotel_room","104","98.00","1978.25"
"2023-10","Room in bed and breakfast - hotel_room","74","84.73","1759.00"
"2022-11","Room in boutique hotel - hotel_room","8","17.85","526.00"
"2022-12","Room in boutique hotel - hotel_room","10","22.45","707.50"
"2023-01","Room in boutique hotel - hotel_room","8","15.50","471.50"
"2023-02","Room in boutique hotel - hotel_room","14","30.00","815.00"
"2023-03","Room in boutique hotel - hotel_room","13","20.53","615.33"
"2023-04","Room in boutique hotel - hotel_room","28","44.87","1522.00"
"2023-05","Room in boutique hotel - hotel_room","10","18.40","545.67"
"2023-06","Room in boutique hotel - hotel_room","16","36.33","934.67"
"2023-07","Room in boutique hotel - hotel_room","30","56.17","1755.33"
"2023-08","Room in boutique hotel - hotel_room","24","37.10","1393.00"
"2023-09","Room in boutique hotel - hotel_room","23","36.03","1263.67"
"2023-10","Room in boutique hotel - hotel_room","32","41.27","1265.67"
"2022-11","Room in boutique hotel - private_room","873","61.77","1686.71"
"2022-12","Room in boutique hotel - private_room","800","62.08","1537.15"
"2023-01","Room in boutique hotel - private_room","665","51.48","1180.64"
"2023-02","Room in boutique hotel - private_room","780","62.94","1659.94"
"2023-03","Room in boutique hotel - private_room","813","54.66","1525.34"
"2023-04","Room in boutique hotel - private_room","996","71.36","2269.66"
"2023-05","Room in boutique hotel - private_room","943","64.12","2415.22"
"2023-06","Room in boutique hotel - private_room","883","68.44","2222.19"
"2023-07","Room in boutique hotel - private_room","1055","76.10","3247.52"
"2023-08","Room in boutique hotel - private_room","1166","72.28","3025.29"
"2023-09","Room in boutique hotel - private_room","1241","74.16","2882.64"
"2023-10","Room in boutique hotel - private_room","988","55.80","1937.91"
"2022-11","Room in hotel - hotel_room","55","74.07","1451.67"
